doc_id,title,source_url,retrieved_at,document_version,audience,campus,department,category,language
01-academic-regulations,QUY CHẾ ĐÀO TẠO ĐẠI HỌC CHÍNH QUY - Trường Đại học FPT,https://daihoc.fpt.edu.vn/hoat-dong-nha-truong/tin-tuc-chung/quy-che-dao-tao-dai-hoc-chinh-quy/,2026-09-19,public-web-version,student,all,academic_affairs,academic_regulation,vi
02-fap-and-academic-procedures,Hướng dẫn sử dụng cổng thông tin đào tạo FAP cho tân sinh viên Trường Đại học FPT - Trường Đại học FPT,https://daihoc.fpt.edu.vn/tin-tuc-chung-2/huong-dan-su-dung-cong-thong-tin-dao-tao-fap-cho-tan-sinh-vien-dai-hoc-fpt/,2026-09-19,2021-guide,student,all,academic_affairs,academic_services,vi
03-tuition-hcm,Học phí tại campus Tp. Hồ Chí Minh - Trường Đại học FPT,https://daihoc.fpt.edu.vn/hoc-phi-tai-campus-tp-ho-chi-minh/,2026-09-19,2026,student,hcm,finance,tuition,vi
04-scholarship-faq,FAQ Học bổng - Trường Đại học FPT,https://daihoc.fpt.edu.vn/hoc-bong/faq-hoc-bong/,2026-09-19,2026,student,all,scholarship,scholarship,vi
05-student-services-hcm,Liên hệ,https://daihoc.fpt.edu.vn/hcm/lien-he/,2026-09-19,current,student,hcm,student_services,student_services,vi
06-campus-facilities-hcm,"Toàn cầu, Công nghệ, Khởi nghiệp",https://daihoc.fpt.edu.vn/hcm/,2026-09-19,current,student,hcm,campus_operations,campus_services,vi
07-ojt-regulations,[OJT SPRING 2026] - THÔNG BÁO THAM DỰ ORIENTATION OJT - Trường Đại học FPT,https://daihoc.fpt.edu.vn/thong-bao-huong-dan/ojt-spring-2026-thong-bao-tham-du-orientation-ojt/,2026-09-19,spring-2026,student,hcm,corporate_relations,ojt,vi
08-ojt-registration,[OJT SPRING 2026] THÔNG BÁO VỀ VIỆC HƯỚNG DẪN SINH VIÊN ĐĂNG KÝ DOANH NGHIỆP OJT - Trường Đại học FPT,https://daihoc.fpt.edu.vn/thong-bao-huong-dan/ojt-spring-2026-thong-bao-ve-viec-huong-dan-sinh-vien-dang-ky-doanh-nghiep-ojt/,2026-09-19,spring-2026,student,hcm,corporate_relations,ojt_registration,vi
09-international-exchange-hcm,Chương trình trao đổi (Exchange),https://daihoc.fpt.edu.vn/hcm/chuong-trinh-trao-doi-exchange/,2026-09-19,current,student,hcm,international_collaboration_pdp,international_exchange,vi
10-departments-and-support-routing-hcm,Liên hệ & Bản đồ,https://daihoc.fpt.edu.vn/hcm/ban-lanh-dao-campus-hcm/,2026-09-19,current,student,hcm,campus_management,support_routing,vi
